cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
住宿和餐饮业,石化,4,4.517773428910809,0.0022353368251234462,101,0.0255588779217768,True,2023-07-01,2025-06-30
黑色金属冶炼,石化,1,2.098619016629197,0.15052979621443763,104,0.28307655781528096,False,2023-07-01,2025-06-30
非金属矿物制品业,石化,2,0.10900190284786569,0.8968372751930859,103,0.8997777252756861,False,2023-07-01,2025-06-30
化学制品制造业,石化,3,1.4746750554958437,0.22638080966009844,102,0.3559109498137499,False,2023-07-01,2025-06-30
纺织业,石化,1,0.5169705412249249,0.47379708193896475,104,0.5430033972783641,False,2023-07-01,2025-06-30
电子,石化,4,1.4336856185596605,0.22913221278859064,101,0.3559109498137499,False,2023-07-01,2025-06-30
大工业电量,合计,1,1.2984007719785016,0.25722764711497914,103,0.550431188931354,False,2024-01-01,2025-12-31
非普工业,合计,2,1.870118902858258,0.15961914637487118,102,0.4804634614492817,False,2024-01-01,2025-12-31
居民生活,合计,1,0.8890683395281967,0.34800234072907954,103,0.6614205979074431,False,2024-01-01,2025-12-31
商业用电,合计,3,2.257342354488179,0.08680334150448321,101,0.4083888478292448,False,2024-01-01,2025-12-31
农业,合计,2,1.0071478622846037,0.36904627749699226,102,0.6715554534042197,False,2024-01-01,2025-12-31
制造业,合计,1,1.7079975545478128,0.19424278371545756,103,0.5121090173016031,False,2024-01-01,2025-12-31
工业,合计,1,1.4064268900485124,0.2384606675171218,103,0.5366785902158782,False,2024-01-01,2025-12-31
交通仓储和邮政业,合计,1,0.3858340089222614,0.5359107310715252,103,0.7698999235112052,False,2024-01-01,2025-12-31
信息传输,合计,3,2.576534008592651,0.05840486514845489,101,0.3708372828183065,False,2024-01-01,2025-12-31
批发和零售业,合计,3,0.9360293980866109,0.4265413708742508,101,0.7251203304862263,False,2024-01-01,2025-12-31
住宿和餐饮业,合计,1,0.5642866988134314,0.4543023701606681,103,0.7443436452076454,False,2024-01-01,2025-12-31
黑色金属冶炼,合计,1,2.964617458400666,0.08819650331341589,103,0.4083888478292448,False,2024-01-01,2025-12-31
非金属矿物制品业,合计,2,0.8277075105762282,0.44011291079317816,102,0.732127588825309,False,2024-01-01,2025-12-31
化学制品制造业,合计,1,0.03225139115141691,0.8578404194907092,103,0.9077231907856185,False,2024-01-01,2025-12-31
纺织业,合计,1,5.529868523831099,0.02065510942793014,103,0.1755684301374062,False,2024-01-01,2025-12-31
