group,target,horizon,model,mae,rmse,mape,smape,n
key_variable,合计,21,direct_context_weather_holiday,28670018.203490634,36111367.68825576,0.03397209696860041,0.03404349712756779,101
key_variable,合计,22,direct_context_weather_holiday,28457675.711755995,36298002.67481399,0.033658194836668716,0.03375954408926833,101
key_variable,合计,23,direct_context_weather_holiday,28448025.267971143,36241419.228093065,0.03359729676943495,0.03376644763625536,101
key_variable,合计,24,direct_context_weather_holiday,29335430.78990128,36977503.82067777,0.0347164267126076,0.03488478327959527,101
key_variable,合计,25,direct_context_weather_holiday,30153132.016890176,37526748.70236478,0.035793910815917276,0.03590980540958299,101
key_variable,合计,26,direct_context_weather_holiday,30010206.211410962,36948103.22375001,0.03565073549398317,0.03581155226927822,101
key_variable,合计,27,direct_context_weather_holiday,30003034.858700946,36561036.207158126,0.035639558255064666,0.03584550249428487,101
key_variable,合计,28,direct_context_weather_holiday,29152980.593310054,36246916.2485335,0.03459299300234809,0.034799973217623625,101
key_variable,合计,29,direct_context_weather_holiday,28842782.49360401,36463078.66437955,0.03413064828694797,0.03439463274181435,101
key_variable,合计,30,direct_context_weather_holiday,30071374.414632335,37540495.39746938,0.03547266366888006,0.035797823479449355,101
key_variable,合计,1,direct_own_weather_holiday,27377567.484003767,33866676.02176357,0.032462981714949435,0.03312789090994012,101
key_variable,合计,2,direct_own_weather_holiday,32556622.069130648,39169684.62108895,0.03857511679576143,0.03951186549625214,101
key_variable,合计,3,direct_own_weather_holiday,35688109.78594883,43401224.16780836,0.0421908512425499,0.043369557741415994,101
key_variable,合计,4,direct_own_weather_holiday,38115693.95685253,46631883.569758065,0.04485153739291994,0.04620509628622502,101
key_variable,合计,5,direct_own_weather_holiday,39577892.18972457,48825904.306871325,0.04636505187622265,0.04785159459592766,101
key_variable,合计,6,direct_own_weather_holiday,40315631.9590236,49981605.50521948,0.04704815492260901,0.04860111650536664,101
key_variable,合计,7,direct_own_weather_holiday,40474951.08580903,50519382.86321986,0.047062093965625426,0.04863770169670492,101
key_variable,合计,8,direct_own_weather_holiday,40604261.02367632,51579587.06059581,0.047032531284935786,0.048665908111215614,101
key_variable,合计,9,direct_own_weather_holiday,40964907.56932982,53129906.33096829,0.04731221962795954,0.049051933197797756,101
key_variable,合计,10,direct_own_weather_holiday,41330096.7420934,54246610.875056975,0.04769386565536704,0.04951665522545878,101
key_variable,合计,11,direct_own_weather_holiday,41636527.63818968,54597013.23301714,0.048069630164953615,0.04993375992546271,101
key_variable,合计,12,direct_own_weather_holiday,41912552.65191968,54868613.21930803,0.048427351191953114,0.0503167752207647,101
key_variable,合计,13,direct_own_weather_holiday,42380747.73933456,55396500.18471035,0.04902098121244041,0.050946655828165675,101
key_variable,合计,14,direct_own_weather_holiday,43503928.52378337,56311292.40708622,0.05038759025727443,0.05238379469848276,101
key_variable,合计,15,direct_own_weather_holiday,44340726.47958228,56853771.02291237,0.05142369538295287,0.05346656083052178,101
key_variable,合计,16,direct_own_weather_holiday,45226712.579274766,57006882.10498013,0.052560975550842756,0.05463101942681306,101
key_variable,合计,17,direct_own_weather_holiday,45992349.55326902,56868260.25506696,0.05359443525692154,0.055680620288609074,101
key_variable,合计,18,direct_own_weather_holiday,46166715.5185413,56513574.24104886,0.05390869310465444,0.056000123140818175,101
key_variable,合计,19,direct_own_weather_holiday,46247304.84139793,55918921.35614107,0.054093501600925055,0.056161668026640514,101
key_variable,合计,20,direct_own_weather_holiday,46405494.20826721,55934977.69497381,0.05430866800735817,0.05637810002171315,101
key_variable,合计,21,direct_own_weather_holiday,46850325.81170362,56549773.78270429,0.054840744767993894,0.05695760652301828,101
key_variable,合计,22,direct_own_weather_holiday,47315431.74786016,56799193.10976862,0.05541794958483534,0.05756023402946768,101
key_variable,合计,23,direct_own_weather_holiday,47728439.706862494,57129432.217252165,0.05595192948090927,0.05812936947099986,101
key_variable,合计,24,direct_own_weather_holiday,48172812.09420835,57288477.72687196,0.05655204359427384,0.0587591668639928,101
key_variable,合计,25,direct_own_weather_holiday,48736108.94629462,57381864.32389443,0.05731529229852408,0.05954919373110987,101
key_variable,合计,26,direct_own_weather_holiday,49599539.47893611,57678385.532651804,0.05845015779174968,0.06072433560231191,101
